# This file was produced by bcftools stats (1.22+htslib-1.22) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  sabine.read1.norm.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	sabine.read1.norm.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	1408
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1298
SN	0	number of MNPs:	1
SN	0	number of indels:	109
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	406	892	0.46	406	892	0.46
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	718	213	505	39	0	0	39
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	718	213	505	39	0	0	39
AF	0	0.990000	580	193	387	70	0	0	70
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.1	2	2	0	0
QUAL	0	30.2	1	0	1	0
QUAL	0	30.3	1	1	0	1
QUAL	0	30.4	1	1	0	0
QUAL	0	30.5	2	2	0	0
QUAL	0	30.6	1	0	1	0
QUAL	0	30.9	1	0	1	0
QUAL	0	31.2	2	0	2	0
QUAL	0	31.3	1	1	0	0
QUAL	0	31.5	2	2	0	0
QUAL	0	31.6	1	1	0	0
QUAL	0	31.7	1	1	0	0
QUAL	0	31.8	1	0	1	0
QUAL	0	31.9	0	0	0	1
QUAL	0	32.0	2	1	1	0
QUAL	0	32.2	2	0	2	0
QUAL	0	32.4	1	0	1	0
QUAL	0	32.5	2	1	1	0
QUAL	0	32.6	2	0	2	0
QUAL	0	32.7	2	0	2	0
QUAL	0	32.8	1	0	1	0
QUAL	0	32.9	1	0	1	0
QUAL	0	33.0	1	0	1	0
QUAL	0	33.1	1	0	1	0
QUAL	0	33.3	1	0	1	0
QUAL	0	33.4	1	0	1	0
QUAL	0	33.7	1	0	1	0
QUAL	0	33.9	1	0	1	0
QUAL	0	34.0	5	1	4	0
QUAL	0	34.1	1	0	1	0
QUAL	0	34.2	1	0	1	0
QUAL	0	34.3	2	0	2	0
QUAL	0	34.4	2	1	1	0
QUAL	0	34.5	1	0	1	0
QUAL	0	34.7	1	0	1	0
QUAL	0	34.8	1	0	1	0
QUAL	0	34.9	1	0	1	0
QUAL	0	35.0	1	0	1	0
QUAL	0	35.2	1	0	1	0
QUAL	0	35.3	2	0	2	0
QUAL	0	35.4	1	0	1	0
QUAL	0	35.5	2	0	2	0
QUAL	0	35.6	2	0	2	0
QUAL	0	35.7	4	0	4	0
QUAL	0	35.8	1	0	1	0
QUAL	0	35.9	2	1	1	0
QUAL	0	36.0	1	0	1	0
QUAL	0	36.1	1	1	0	0
QUAL	0	36.2	2	0	2	0
QUAL	0	36.3	1	0	1	0
QUAL	0	36.4	4	1	3	0
QUAL	0	36.5	1	0	1	0
QUAL	0	36.6	3	0	3	0
QUAL	0	36.7	2	1	1	0
QUAL	0	36.8	2	0	2	1
QUAL	0	36.9	1	0	1	0
QUAL	0	37.0	2	1	1	0
QUAL	0	37.2	2	0	2	0
QUAL	0	37.5	2	1	1	0
QUAL	0	37.6	1	0	1	0
QUAL	0	37.7	1	0	1	0
QUAL	0	37.8	2	1	1	0
QUAL	0	37.9	3	2	1	0
