# This file was produced by bcftools stats (1.22+htslib-1.22) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  zeb.read1.norm.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	zeb.read1.norm.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	1386
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1273
SN	0	number of MNPs:	9
SN	0	number of indels:	108
SN	0	number of others:	1
SN	0	number of multiallelic sites:	5
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	422	848	0.50	421	847	0.50
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	691	237	454	47	0	0	47
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	691	237	454	47	0	0	47
AF	0	0.990000	579	185	394	61	0	0	61
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.1	1	1	0	0
QUAL	0	30.2	3	2	1	0
QUAL	0	30.3	1	0	1	0
QUAL	0	30.6	2	0	2	1
QUAL	0	30.7	1	1	0	0
QUAL	0	30.8	1	1	0	0
QUAL	0	31.0	2	0	2	0
QUAL	0	31.2	2	1	1	0
QUAL	0	31.3	2	0	2	0
QUAL	0	31.4	1	0	1	0
QUAL	0	31.5	2	1	1	0
QUAL	0	31.7	1	0	1	0
QUAL	0	31.8	1	0	1	0
QUAL	0	32.0	1	0	1	0
QUAL	0	32.1	1	0	1	0
QUAL	0	32.2	1	0	1	0
QUAL	0	32.3	3	0	3	0
QUAL	0	32.4	2	0	2	0
QUAL	0	32.5	1	0	1	0
QUAL	0	32.6	2	2	0	0
QUAL	0	32.9	1	0	1	0
QUAL	0	33.1	2	1	1	0
QUAL	0	33.2	1	0	1	0
QUAL	0	33.3	1	1	0	1
QUAL	0	33.4	2	1	1	0
QUAL	0	33.5	2	0	2	0
QUAL	0	33.6	1	1	0	0
QUAL	0	33.7	1	0	1	0
QUAL	0	34.0	2	1	1	0
QUAL	0	34.1	2	1	1	1
QUAL	0	34.2	1	0	1	0
QUAL	0	34.3	1	1	0	0
QUAL	0	34.4	2	1	1	0
QUAL	0	34.5	0	0	0	1
QUAL	0	34.7	2	0	2	0
QUAL	0	34.9	5	0	5	0
QUAL	0	35.1	2	1	1	0
QUAL	0	35.2	3	1	2	1
QUAL	0	35.4	1	0	1	0
QUAL	0	35.5	1	0	1	0
QUAL	0	35.6	4	1	3	0
QUAL	0	35.8	1	1	0	0
QUAL	0	36.0	1	0	1	0
QUAL	0	36.1	2	0	2	0
QUAL	0	36.3	2	0	2	1
QUAL	0	36.4	1	0	1	0
QUAL	0	36.6	3	0	3	0
QUAL	0	36.8	1	1	0	0
QUAL	0	36.9	0	0	0	1
QUAL	0	37.0	1	1	0	0
QUAL	0	37.1	1	1	0	0
QUAL	0	37.2	1	0	1	0
QUAL	0	37.3	1	1	0	0
QUAL	0	37.4	1	1	0	0
QUAL	0	37.5	5	2	3	0
QUAL	0	37.6	0	0	0	1
QUAL	0	37.7	1	1	0	0
QUAL	0	37.8	1	0	1	0
QUAL	0	37.9	1	1	0	0
QUAL	0	38.0	1	1	0	0
QUAL	0	38.1	3	1	2	0
QUAL	0	38.6	3	0	3	0
QUAL	0	38.7	1	0	1	0
QUAL	0	38.8	1	1	0	0
QUAL	0	38.9	1	1	0	0
QUAL	0	39.1	1	0	1	0
QUAL	0	39.2	1	0	1	2
QUAL	0	39.4	1	1	0	0
QUAL	0	39.5	2	1	1	1
QUAL	0	39.8	1	1	0	1
QUAL	0	40.1	2	1	1	0
QUAL	0	40.2	1	1	0	0
QUAL	0	40.3	1	1	0	0
QUAL	0	40.4	1	0	1	0
QUAL	0	40.5	2	2	0	0
QUAL	0	40.7	1	0	1	0
QUAL	0	40.8	1	0	1	0
QUAL	0	41.1	3	0	3	0
QUAL	0	41.2	1	0	1	0
QUAL	0	41.3	0	0	0	1
QUAL	0	41.5	1	0	1	0
QUAL	0	41.6	3	1	2	0
QUAL	0	41.8	0	0	0	1
QUAL	0	42.1	2	0	2	0
QUAL	0	42.2	2	0	2	0
QUAL	0	42.3	1	0	1	1
